2026-05-19 21:59:33,664 | INFO | Creando cliente HTTP compartido
2026-05-25 19:53:29,628 | INFO | ANTES -> method=tools/call tool=get_post
2026-05-25 19:53:29,634 | INFO | Cerrando cliente HTTP
2026-05-25 19:53:50,451 | INFO | Creando cliente HTTP compartido
2026-05-25 19:53:50,677 | INFO | ANTES -> method=tools/call tool=get_post
2026-05-25 19:53:50,731 | INFO | Fetching post with id 1 - response api: <Response [200 OK]>
2026-05-25 19:53:50,731 | INFO | {'body': 'quia et suscipit\nsuscipit recusandae consequuntur expedita et cum\nreprehenderit molestiae ut ut quas totam\nnostrum rerum est autem sunt rem eveniet architecto', 'title': 'sunt aut facere repellat provident occaecati excepturi optio reprehenderit'}
2026-05-25 19:53:50,767 | INFO | DESPUES -> method=tools/call tool=get_post
2026-05-25 19:53:50,770 | INFO | Cerrando cliente HTTP
2026-05-25 19:59:43,040 | INFO | Creando cliente HTTP compartido
2026-05-25 19:59:43,268 | INFO | ANTES -> method=tools/call tool=get_post
2026-05-25 19:59:43,328 | INFO | {'body': 'quia et suscipit\nsuscipit recusandae consequuntur expedita et cum\nreprehenderit molestiae ut ut quas totam\nnostrum rerum est autem sunt rem eveniet architecto', 'title': 'sunt aut facere repellat provident occaecati excepturi optio reprehenderit'}
2026-05-25 19:59:43,328 | INFO | DESPUES -> method=tools/call tool=get_post
2026-05-25 19:59:43,331 | INFO | Cerrando cliente HTTP
2026-05-25 20:00:18,626 | INFO | Creando cliente HTTP compartido
2026-05-25 20:00:18,851 | INFO | ANTES -> method=tools/call tool=get_post
2026-05-25 20:00:19,249 | ERROR | Error fetching post with id 1213131313: 404
2026-05-25 20:00:19,249 | ERROR | Error: Unexpected error when fetching post with id 1213131313 - Error fetching post with id 1213131313: 404
2026-05-25 20:00:19,363 | INFO | Cerrando cliente HTTP
2026-05-25 20:01:14,942 | INFO | Creando cliente HTTP compartido
2026-05-25 20:01:15,170 | INFO | ANTES -> method=tools/call tool=get_post
2026-05-25 20:01:15,571 | INFO | {'body': 'itaque id aut magnam\npraesentium quia et ea odit et ea voluptas et\nsapiente quia nihil amet occaecati quia id voluptatem\nincidunt ea est distinctio odio', 'title': 'in quibusdam tempore odit est dolorem'}
2026-05-25 20:01:15,571 | INFO | DESPUES -> method=tools/call tool=get_post
2026-05-25 20:01:15,573 | INFO | Cerrando cliente HTTP
2026-05-26 11:06:02,728 | INFO | Creando cliente compartiddos para el servidor
2026-05-26 11:06:02,967 | INFO | ANTES -> method=tools/call tool=create_note
2026-05-26 11:06:03,031 | INFO | Cerrando cliente compartidos para el servidor
2026-05-26 11:09:04,224 | INFO | Creando cliente compartiddos para el servidor
2026-05-26 11:09:04,462 | INFO | ANTES -> method=tools/call tool=create_note
2026-05-26 11:09:04,466 | INFO | DESPUES -> method=tools/call tool=create_note
2026-05-26 11:09:04,469 | INFO | Cerrando cliente compartidos para el servidor
2026-05-26 11:14:12,233 | INFO | Creando cliente compartiddos para el servidor
2026-05-26 11:14:12,470 | INFO | ANTES -> method=tools/call tool=create_note
2026-05-26 11:14:12,474 | INFO | DESPUES -> method=tools/call tool=create_note
2026-05-26 11:14:12,477 | INFO | Cerrando cliente compartidos para el servidor
2026-06-05 19:46:08,313 | INFO | Creando cliente compartiddos para el servidor
2026-06-05 19:46:08,545 | INFO | ANTES -> method=tools/call tool=create_note
2026-06-05 19:46:08,551 | INFO | DESPUES -> method=tools/call tool=create_note
2026-06-05 19:46:08,554 | INFO | Cerrando cliente compartidos para el servidor
2026-06-05 20:18:15,410 | INFO | Creando cliente compartiddos para el servidor
2026-06-05 20:18:15,667 | INFO | ANTES -> method=tools/call tool=create_note
2026-06-05 20:18:15,672 | INFO | DESPUES -> method=tools/call tool=create_note
2026-06-05 20:18:15,677 | INFO | Cerrando cliente compartidos para el servidor
